school.id,school.name,reading.WB,reading.B,reading.At,reading.A,reading.male.WB,reading.male.B,reading.male.At,reading.male.A,reading.female.WB,reading.female.B,reading.female.At,reading.femaleA,reading.maori.WB,reading.maori.B,reading.maori.At,reading.maori.A,reading.pasifica.WB,reading.pasifica.B,reading.pasifica.At,reading.pasifica.A,writing.WB,writing.B,writing.At,writing.A,writing.male.WB,writing.male.B,writing.male.At,writing.male.A,writing.female.WB,writing.female.B,writing.female.At,writing.femaleA,writing.maori.WB,writing.maori.B,writing.maori.At,writing.maori.A,writing.pasifica.WB,writing.pasifica.B,writing.pasifica.At,writing.pasifica.A,math.WB,math.B,math.At,math.A,math.male.WB,math.male.B,math.male.At,math.male.A,math.female.WB,math.female.B,math.female.At,math.femaleA,math.maori.WB,math.maori.B,math.maori.At,math.maori.A,math.pasifica.WB,math.pasifica.B,math.pasifica.At,math.pasifica.A,X,school.name.y,decile.2007,tfea.2007,decile.2008,tfea.2008,decile.change,tfea.change,school.type,authority,local.authority,council,moe.office,electorate,name.discrepancy
1226,Belmont School (Auckland),0.0355,0.1387,0.2032,0.6226,0.0366,0.1585,0.1951,0.6098,0.034,0.1156,0.2109,0.6395,0.0541,0.1622,0.3243,0.4595,NA,NA,NA,NA,0.0452,0.2097,0.4677,0.2774,0.0491,0.2945,0.4724,0.184,0.0408,0.102,0.4762,0.381,0.027,0.2703,0.6486,0.0541,NA,NA,NA,NA,0.013,0.0935,0.5258,0.3677,0.0062,0.0932,0.4907,0.4099,0.0204,0.102,0.585,0.2925,0.027,0.2162,0.5676,0.1892,NA,NA,NA,NA,NA,Belmont School (Auckland),9,Q,10,Z,1,1,Contributing,State,North Shore City,Auckland Region,Auckland North,North Shore,0
1228,Birkdale Intermediate,0.01,0.065,0.54,0.385,0.005,0.085,0.595,0.315,0.005,0.045,0.465,0.485,0.02,0.11,0.625,0.245,0,0.11,0.65,0.24,0.01,0.095,0.555,0.34,0.01,0.095,0.605,0.29,0,0.1,0.49,0.41,0.02,0.15,0.62,0.21,0,0.145,0.6,0.255,0.01,0.065,0.59,0.335,0.005,0.06,0.605,0.33,0.015,0.075,0.565,0.345,0.03,0.06,0.63,0.28,0,0.15,0.72,0.13,NA,Birkdale Intermediate,6,N,6,N,0,0,Intermediate,State,North Shore City,Auckland Region,Auckland North,Northcote,0
1233,Blockhouse Bay School,0.0018,0.0714,0.3974,0.5293,0.0036,0.0985,0.4197,0.4781,0,0.0441,0.375,0.5809,0,0.1064,0.3617,0.5319,0,0.1613,0.4194,0.4194,0.0147,0.152,0.4304,0.4029,0.0219,0.2007,0.4708,0.3066,0.0074,0.1029,0.3897,0.5,0.0426,0.1702,0.4043,0.383,0.0333,0.1,0.4667,0.4,0.0055,0.0748,0.4909,0.4288,0.0037,0.0912,0.4489,0.4562,0.0074,0.0588,0.5294,0.4044,0.0426,0.1489,0.5745,0.234,0.0333,0.1,0.5667,0.3,NA,Blockhouse Bay School,8,P,8,P,0,0,Contributing,State,Auckland City,Auckland Region,Auckland South,New Lynn,0
1234,Bombay School,0.0342,0.1553,0.2671,0.5434,0.0417,0.2024,0.2917,0.4642,0.0256,0.109,0.2372,0.6282,0.0313,0.2188,0.5938,0.1561,0,0.1818,0.5455,0.2727,0.065,0.2941,0.5356,0.1053,0.1146,0.3694,0.4459,0.0701,0.0181,0.2229,0.6205,0.1385,0.0625,0.3438,0.4688,0.125,0.0909,0.1818,0.4545,0.2727,0.0279,0.1672,0.517,0.2879,0.0417,0.1845,0.5119,0.2619,0.0129,0.1484,0.5226,0.3161,0.0238,0.2143,0.5952,0.1667,0,0.1818,0.6364,0.1818,NA,Bombay School,8,P,9,Q,1,1,Full Primary,State,Franklin District,Auckland Region,Auckland South,Port Waikato,0
1237,Browns Bay School,0.037,0.125,0.61,0.228,0.032,0.154,0.636,0.178,0.042,0.096,0.583,0.279,0.056,0.111,0.556,0.278,NA,NA,NA,NA,0.035,0.162,0.661,0.142,0.04,0.194,0.643,0.125,0.029,0.129,0.679,0.163,0.055,0.055,0.667,0.222,NA,NA,NA,NA,0.016,0.168,0.544,0.271,0.008,0.147,0.502,0.343,0.025,0.193,0.58,0.202,0.055,0.111,0.722,0.111,NA,NA,NA,NA,NA,Browns Bay School,10,Z,10,Z,0,0,Contributing,State,North Shore City,Auckland Region,Auckland North,East Coast Bays,0
1238,Bruce McLaren Intermediate,0.08,0.52,0.255,0.145,0.135,0.575,0.185,0.105,0.04,0.445,0.335,0.18,0.12,0.47,0.29,0.12,0.11,0.595,0.185,0.11,0.135,0.535,0.285,0.045,0.19,0.615,0.185,0.01,0.08,0.45,0.395,0.075,0.16,0.485,0.315,0.04,0.16,0.58,0.25,0.01,0.065,0.535,0.26,0.14,0.115,0.525,0.25,0.11,0.03,0.53,0.27,0.17,0.14,0.53,0.23,0.1,0.06,0.6,0.24,0.1,NA,Bruce McLaren Intermediate,4,J,3,I,-1,-1,Intermediate,State,Waitakere City,Auckland Region,Auckland North,Waitakere,0
1239,Buckland School,0.03,0.19,0.49,0.29,0.04,0.24,0.47,0.25,0.03,0.115,0.505,0.35,0.04,0.23,0.4,0.33,0.11,0.22,0.56,0.11,0.02,0.26,0.55,0.17,0.02,0.34,0.53,0.11,0.01,0.14,0.58,0.27,0.03,0.27,0.4,0.3,0,0.55,0.45,0,0.03,0.19,0.6,0.18,0.05,0.21,0.54,0.2,0.02,0.15,0.68,0.15,0.13,0.13,0.37,0.37,0,0.33,0.67,0,NA,Buckland School,7,O,8,P,1,1,Full Primary,State,Franklin District,Waikato Region,Auckland South,Port Waikato,0
1241,Bucklands Beach Primary School,0.054,0.074,0.174,0.698,0.05,0.08,0.18,0.69,0.053,0.064,0.17,0.713,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.16,0.6,0.16,0.11,0.21,0.56,0.12,0.04,0.11,0.64,0.21,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.12,0.52,0.34,0.01,0.07,0.48,0.44,0.02,0.17,0.58,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bucklands Beach Primary School,10,Z,10,Z,0,0,Contributing,State,Manukau City,Auckland Region,Auckland South,Pakuranga,0
1242,Campbells Bay School,0,0.1433,0.1133,0.7433,0,0.18,0.1183,0.7017,0,0.155,0.115,0.73,0,0.184,0.166,0.65,NA,NA,NA,NA,0,0.1117,0.4083,0.48,0,0.2267,0.465,0.3083,0,0.1117,0.355,0.5333,0,0.13,0.49,0.38,NA,NA,NA,NA,0,0.07,0.21,0.72,0,0.0767,0.1967,0.7267,0,0.125,0.2217,0.6533,0,0.1,0.434,0.466,NA,NA,NA,NA,NA,Campbells Bay School,10,Z,10,Z,0,0,Contributing,State,North Shore City,Auckland Region,Auckland North,North Shore,0
1245,Christ the King Catholic School (Owairak,0.04,0.15,0.57,0.24,0.04,0.11,0.65,0.19,0.04,0.17,0.52,0.27,NA,NA,NA,NA,0.05,0.21,0.63,0.11,0.1,0.24,0.54,0.13,0.11,0.21,0.6,0.08,0.08,0.26,0.51,0.15,NA,NA,NA,NA,0.15,0.31,0.49,0.05,0.02,0.14,0.63,0.21,0.02,0.14,0.69,0.15,0.02,0.15,0.58,0.24,NA,NA,NA,NA,0.02,0.26,0.65,0.08,NA,Christ The King School (Mt Roskill),4,J,3,I,-1,-1,Full Primary,State Integrated,Auckland City,Auckland Region,Auckland South,Mt Roskill,1
