Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014Step",2015 Decile,"2015 Step",Decile Change,Step Change,"July 2014 Funding rollYears 9+","July 2014 Funding rollTotal ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
1213,Avondale Primary School (Auckland),3,H,3,H,0,0,0,362,Contributing,State,Auckland- Whau,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
3286,Avondale School (Christchurch),2,F,2,E,0,-1,0,303,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
3287,Avonhead School,9,Q,7,O,-2,-2,0,578,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
324,Avonside Girls' High School,6,N,6,N,0,0,829,829,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
2105,Awahono School - Grey Valley,4,L,5,M,1,1,0,79,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2338,Awahou School,10,Z,7,O,-3,-3,0,45,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
1691,Awakeri School,6,N,6,N,0,0,0,370,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1004,Awanui School,2,D,2,E,0,1,0,51,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2544,Awapuni School (Gisborne),3,G,3,G,0,0,0,270,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2339,Awapuni School (P.North),2,D,2,E,0,1,0,84,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
198,Awatapu College,5,M,4,K,-1,-2,623,623,Secondary (Year 9-15),State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
1214,Awhitu District School,5,M,6,N,1,1,0,115,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1216,Bailey Road School,3,G,3,H,0,1,0,422,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
2341,Bainesse School,4,K,5,M,1,2,0,56,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
1218,Bairds Mainfreight Primary School,1,B,1,A,0,-1,0,386,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
3709,Balaclava School,8,P,8,P,0,0,0,242,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
3710,Balclutha School,5,M,5,M,0,0,0,193,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
3932,Balfour School,7,O,10,Z,3,3,0,62,Contributing,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
2805,Ballance School,5,M,6,N,1,1,0,29,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
3711,Balmacewen Intermediate,9,Q,8,P,-1,-1,0,488,Intermediate,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
4100,Balmoral S D A School,5,M,4,J,-1,-3,0,97,Full Primary,State: Integrated,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
1219,Balmoral School (Auckland),9,Q,9,Q,0,0,0,813,Full Primary,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
3288,Bamford School,2,D,3,G,1,3,0,114,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
3289,Banks Avenue School,5,M,4,K,-1,-2,0,381,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
1693,Bankwood School,2,F,2,E,0,-1,0,302,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
61,Baradene College,9,Q,9,Q,0,0,742,1082,Secondary (Year 7-15),State: Integrated,Auckland- Orakei,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
3290,Barrytown School,4,L,4,K,0,-1,0,18,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2112,Barton Rural School,8,P,9,Q,1,1,0,142,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
647,Bathgate Park School,3,G,3,H,0,1,0,218,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
6960,Baverstock Oaks School,8,P,6,N,-2,-2,0,713,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Botany,Hauraki-Waikato
8,Bay of Islands College,1,C,2,D,1,1,385,385,Secondary (Year 9-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1112,Bay of Islands International Academy,3,G,6,N,3,7,0,89,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
382,Bayfield High School,8,P,7,O,-1,-1,429,429,Secondary (Year 9-15),State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1220,Bayfield School,10,Z,10,Z,0,0,0,384,Contributing,State,Auckland- Waitemata,Auckland Region,Auckland South,Auckland Central,Tamaki Makaurau
1221,Bayswater School,9,Q,10,Z,1,1,0,198,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
1222,Bayview School,7,O,7,O,0,0,0,321,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
1223,Beach Haven School,4,K,4,L,0,1,0,316,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1224,Beachlands School,10,Z,10,Z,0,0,0,553,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
2114,Beaconsfield School,8,P,9,Q,1,1,0,106,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
3291,Beckenham School,7,O,8,P,1,1,0,437,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
3292,Belfast School,6,N,7,O,1,1,0,472,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
2157,Bell Block School,5,M,5,M,0,0,0,351,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
2806,Bellevue School (Newlands),8,P,8,P,0,0,0,266,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
1694,Bellevue School (Tauranga),5,M,6,N,1,1,0,338,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1225,Belmont Intermediate,10,Z,10,Z,0,0,0,536,Intermediate,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
