Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014 Step",2015 Decile,"2015  Step",Decile Change,Step Change,"July 2014 Funding roll Years 9+","July 2014 Funding roll Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
2618,Napier Central School,9,Q,8,P,-1,-1,0,306,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
217,Napier Girls' High School,7,O,6,N,-1,-1,920,920,Secondary (Year 9-15),State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2619,Napier Intermediate,3,H,4,J,1,2,0,363,Intermediate,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2405,National Park School,3,H,6,N,3,6,0,46,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2923,Natone Park School,1,B,1,B,0,0,0,125,Contributing,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1841,Nawton School,2,F,2,F,0,0,0,504,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
293,Nayland College,6,N,6,N,0,0,954,954,Secondary (Year 9-15),State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
3208,Nayland Primary School,7,O,6,N,-1,-1,0,411,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
3209,Nelson Central School,7,O,7,O,0,0,0,433,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
1148,Nelson Christian Academy,7,O,6,N,-1,-1,0,158,Full Primary,State: Integrated,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
294,Nelson College,7,O,7,O,0,0,1036,1036,Secondary (Year 9-15),State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
295,Nelson College For Girls,7,O,7,O,0,0,1057,1057,Secondary (Year 9-15),State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
3210,Nelson Intermediate,6,N,5,M,-1,-1,0,427,Intermediate,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
2620,Nelson Park School,4,L,5,M,1,1,0,425,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1842,Netherton School,4,K,5,M,1,2,0,113,Full Primary,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
3445,New Brighton Catholic School (Chch),5,M,6,N,1,1,0,148,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
1136,New Life Christian School,1,A,1,B,0,1,0,27,Full Primary,State: Integrated,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1389,New Lynn School,4,K,4,J,0,-1,0,333,Contributing,State,Auckland- Whau,Auckland Region,Auckland North,New Lynn,Tamaki Makaurau
171,New Plymouth Boys' High School,7,O,7,O,0,0,1194,1194,Secondary (Year 9-15),State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
172,New Plymouth Girls' High School,7,O,7,O,0,0,1229,1229,Secondary (Year 9-15),State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
4123,New Plymouth S D A School,6,N,8,P,2,2,0,36,Full Primary,State: Integrated,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
2116,New River Primary,2,D,1,C,-1,-1,0,200,Contributing,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
1390,New Windsor School,5,M,4,J,-1,-3,0,576,Contributing,State,Auckland- Whau,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
2406,Newbury School,9,Q,8,P,-1,-1,0,156,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2118,Newfield Park School,2,E,3,I,1,4,0,236,Contributing,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
268,Newlands College,9,Q,9,Q,0,0,893,893,Secondary (Year 9-15),State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
2924,Newlands Intermediate,9,Q,9,Q,0,0,0,313,Intermediate,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
2925,Newlands School,8,P,8,P,0,0,0,337,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
1391,Newmarket School,8,P,7,O,-1,-1,0,264,Contributing,State,Auckland- Waitemata,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
1843,Newstead Model School,10,Z,10,Z,0,0,0,140,Contributing,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1392,Newton Central School,7,O,8,P,1,1,0,274,Contributing,State,Auckland- Waitemata,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
2926,Newtown School,4,L,5,M,1,1,0,283,Contributing,State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
1393,Nga Iwi School,1,B,1,A,0,-1,0,438,Contributing,State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
488,Nga Taiatea Wharekura,3,G,2,F,-1,-1,270,270,Secondary (Year 9-15),State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
196,Nga Tawa Diocesan School,9,Q,9,Q,0,0,232,232,Secondary (Year 9-15),State: Integrated,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2205,Ngaere School,8,P,7,O,-1,-1,0,143,Full Primary,State,Stratford District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
1844,Ngahinapouri School,10,Z,10,Z,0,0,0,166,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2927,Ngaio School,10,Z,10,Z,0,0,0,521,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
1845,Ngakonui Valley School,3,G,3,H,0,1,0,92,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
1846,Ngakuru School,9,Q,10,Z,1,1,0,53,Full Primary,State,Rotorua District,Waikato Region,Rotorua,Rotorua,Waiariki
2407,Ngamatapouri School,4,L,5,M,1,1,0,12,Full Primary,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
2408,Ngamatea School,6,N,7,O,1,1,0,8,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
1847,Ngapuke School,1,B,2,E,1,3,0,45,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
127,Ngaruawahia High School,2,D,2,D,0,0,185,185,Secondary (Year 9-15),State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1849,Ngaruawahia School,1,B,2,D,1,2,0,151,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
206,Ngata Memorial College,1,A,1,B,0,1,75,119,Composite (Year 1-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1055,Ngataki School,2,E,1,A,-1,-4,0,26,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2621,Ngatapa School,8,P,5,M,-3,-3,0,29,Full Primary,State,Gisborne District,Gisborne Region,Napier,Napier,Ikaroa-Rawhiti
1850,Ngatea School,6,N,6,N,0,0,0,271,Full Primary,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1851,Ngati Haua School,3,I,3,H,0,-1,0,59,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
2928,Ngati Toa School,2,E,4,K,2,6,0,169,Contributing,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
3212,Ngatimoti School,4,L,5,M,1,1,0,106,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
1852,Ngongotaha School,3,I,4,K,1,2,0,339,Contributing,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
1056,Ngunguru School,7,O,7,O,0,0,0,227,Full Primary,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1853,Ngutunui School,9,Q,6,N,-3,-3,0,42,Full Primary,State,Otorohanga District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
2206,Norfolk School,8,P,9,Q,1,1,0,138,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
2207,Normanby School,4,L,5,M,1,1,0,176,Contributing,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
2930,Normandale School,10,Z,10,Z,0,0,0,140,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Ikaroa-Rawhiti
2622,Norsewood and Districts School,6,N,5,M,-1,-1,0,105,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
3783,North East Valley Normal School,6,N,7,O,1,1,0,166,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
3447,North Loburn School,9,Q,9,Q,0,0,0,111,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
2409,North Street School,4,J,3,H,-1,-2,0,339,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
32,Northcote College,8,P,7,O,-1,-1,1030,1030,Secondary (Year 9-15),State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1394,Northcote Intermediate,6,N,6,N,0,0,0,222,Intermediate,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1395,Northcote School (Auckland),9,Q,9,Q,0,0,0,467,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
3449,Northcote School (Christchurch),2,E,3,I,1,4,0,147,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
1396,Northcross Intermediate,10,Z,10,Z,0,0,0,987,Intermediate,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
395,Northern Southland College,7,O,7,O,0,0,98,156,Secondary (Year 7-15),State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
9,Northland College,1,B,1,A,0,-1,265,265,Secondary (Year 9-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2931,Northland School,10,Z,10,Z,0,0,0,344,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
2624,Nuhaka School,2,D,2,D,0,0,0,109,Full Primary,State,Wairoa District,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1854,Nukuhou North School,4,J,3,H,-1,-2,0,60,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3450,Oaklands School,9,Q,9,Q,0,0,0,578,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
1397,Oaklynn Special School,4,L,4,L,0,0,67,135,Special School,State,Auckland- Whau,Auckland Region,Auckland North,New Lynn,Tamaki Makaurau
2208,Oakura School,10,Z,10,Z,0,0,0,309,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
3784,Oamaru Intermediate,5,M,5,M,0,0,0,295,Intermediate,State,Waitaki District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
3785,Oamaru North School,4,K,4,K,0,0,0,128,Contributing,State,Waitaki District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
2110,Oceanview Heights School,2,E,2,F,0,1,0,81,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
1058,Ohaeawai School,2,F,3,H,1,2,0,147,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2410,Ohakune School,5,M,3,I,-2,-4,0,193,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2933,Ohau School,6,N,5,M,-1,-1,0,182,Full Primary,State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
1855,Ohaupo School,9,Q,8,P,-1,-1,0,177,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
1856,Ohinewai School,5,M,3,I,-2,-4,0,128,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
3451,Ohoka School,10,Z,10,Z,0,0,0,256,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
1857,Ohope Beach School,9,Q,9,Q,0,0,0,289,Contributing,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2625,Ohuka School,10,Z,9,Q,-1,-1,0,12,Full Primary,State,Wairoa District,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
176,Ohura Valley Primary,2,D,4,J,2,6,0,12,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
7,Okaihau College,2,F,2,E,0,-1,297,437,Secondary (Year 7-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1059,Okaihau School,4,J,4,J,0,0,0,139,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3452,Okains Bay School,3,H,4,J,1,2,0,17,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
1398,Okiwi School,6,N,5,M,-1,-1,0,40,Full Primary,State,Auckland- Great Barrier,Auckland Region,Auckland North,Auckland Central,Te Tai Tokerau
2412,Okoia School,1,C,2,F,1,3,0,45,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
2626,Omahu School,1,A,2,D,1,3,0,39,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
3788,Omakau School,8,P,9,Q,1,1,0,36,Full Primary,State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
2627,Omakere School,8,P,7,O,-1,-1,0,24,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Wairarapa,Ikaroa-Rawhiti
1060,Omanaia School,2,D,1,A,-1,-3,0,14,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1860,Omanu School,6,N,7,O,1,1,0,585,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
3789,Omarama School,6,N,7,O,1,1,0,35,Full Primary,State,Waitaki District,Canterbury Region,Dunedin,Waitaki,Te Tai Tonga
1861,Omarumutu School,1,C,2,D,1,1,0,68,Full Primary,State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2214,Omata School,8,P,10,Z,2,2,0,148,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
3454,Omihi School,8,P,10,Z,2,2,0,25,Full Primary,State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
1862,Omokoroa Point School,9,Q,9,Q,0,0,0,193,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
1863,Omokoroa School,10,Z,10,Z,0,0,0,273,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
85,One Tree Hill College,3,G,3,G,0,0,947,947,Secondary (Year 9-15),State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
1061,One Tree Point School,4,K,4,L,0,1,0,245,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
86,Onehunga High School,4,J,3,G,-1,-3,1155,1155,Secondary (Year 9-15),State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
1399,Onehunga Primary School,4,K,4,L,0,1,0,413,Contributing,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
2628,Onekawa School,3,G,4,J,1,3,0,404,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1400,Onepoto School,1,C,1,B,0,-1,0,115,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1062,Onerahi School,4,L,4,K,0,-1,0,434,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
108,Onewhero Area School,7,O,6,N,-1,-1,182,514,Composite (Year 1-15),State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
2629,Ongaonga School,6,N,6,N,0,0,0,113,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2215,Ongarue School,3,I,2,D,-1,-5,0,19,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
269,Onslow College,10,Z,10,Z,0,0,1186,1186,Secondary (Year 9-15),State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
1401,Opaheke School,5,M,4,L,-1,-1,0,600,Full Primary,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
2936,Opaki School,10,Z,9,Q,-1,-1,0,180,Full Primary,State,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
3455,Opawa School,5,M,4,K,-1,-2,0,405,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
354,Opihi College,5,M,5,M,0,0,192,284,Secondary (Year 7-15),State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2937,Opiki School,6,N,6,N,0,0,0,108,Full Primary,State,Horowhenua District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3790,Opoho School,9,Q,10,Z,1,1,0,134,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
11,Opononi Area School,2,D,1,C,-1,-1,71,153,Composite (Year 1-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
148,Opotiki College,1,C,2,D,1,1,443,443,Secondary (Year 9-15),State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1866,Opotiki School,1,B,1,B,0,0,0,262,Full Primary,State,Opotiki District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1867,Opoutere School,4,L,4,L,0,0,0,117,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1063,Opua School,7,O,5,M,-2,-2,0,108,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
181,Opunake High School,4,L,4,L,0,0,290,290,Secondary (Year 9-15),State,South Taranaki District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
2216,Opunake School,4,K,6,N,2,3,0,208,Full Primary,State,South Taranaki District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
1402,Orakei School,3,I,4,K,1,2,0,182,Full Primary,State,Auckland- Orakei,Auckland Region,Auckland South,Tamaki,Tamaki Makaurau
1403,Oranga School,3,H,3,G,0,-1,0,295,Contributing,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
1404,Oratia School,9,Q,9,Q,0,0,0,548,Contributing,State,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Helensville,Tamaki Makaurau
2413,Orautoha School,6,N,2,F,-4,-8,0,10,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
1405,Orere School,3,H,4,J,1,2,0,43,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
25,Orewa College,9,Q,9,Q,0,0,1389,1861,Secondary (Year 7-15),State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
1406,Orewa North School,8,P,7,O,-1,-1,0,276,Contributing,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
1407,Orewa School,8,P,9,Q,1,1,0,304,Contributing,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
1869,Orini Combined School,8,P,8,P,0,0,0,122,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
564,Ormiston Senior College,10,Z,7,O,-3,-3,389,389,Secondary (Year 9-15),State,Auckland- Howick,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
2631,Ormond School,6,N,7,O,1,1,0,91,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1065,Oromahoe School,6,N,6,N,0,0,0,57,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1870,Oropi School,9,Q,9,Q,0,0,0,177,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
2414,Oroua Downs School,5,M,5,M,0,0,0,81,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
1066,Oruaiti School,3,I,2,F,-1,-3,0,65,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
377,Otago Boys' High School,9,Q,9,Q,0,0,780,780,Secondary (Year 9-15),State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
378,Otago Girls' High School,9,Q,8,P,-1,-1,790,790,Secondary (Year 9-15),State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
88,Otahuhu College,1,C,1,B,0,-1,1204,1204,Secondary (Year 9-15),State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
1408,Otahuhu Intermediate,2,D,1,B,-1,-2,0,341,Intermediate,State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
1409,Otahuhu School,1,C,1,B,0,-1,0,484,Contributing,State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
1068,Otaika Valley School,4,K,4,K,0,0,0,143,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
240,Otaki College,4,J,4,L,0,2,283,398,Secondary (Year 7-15),State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
2939,Otaki School,3,H,4,K,1,3,0,196,Contributing,State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
1871,Otakiri School,6,N,5,M,-1,-1,0,137,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3997,Otama School,9,Q,9,Q,0,0,0,26,Full Primary,State,Gore District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
1872,Otamarakau School,5,M,7,O,2,2,0,63,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
21,Otamatea High School,6,N,4,L,-2,-2,315,423,Secondary (Year 7-15),State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2634,Otane School,3,H,4,L,1,4,0,27,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
3073,Otari School,10,Z,10,Z,0,0,0,211,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
4000,Otatara School,10,Z,10,Z,0,0,0,301,Contributing,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
1410,Otaua School,8,P,8,P,0,0,0,150,Full Primary,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
4001,Otautau School,5,M,6,N,1,1,0,166,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
6946,Oteha Valley School,9,Q,9,Q,0,0,0,357,Contributing,State,Auckland- Upper Harbour,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
1874,Otewa School,8,P,6,N,-2,-2,0,55,Full Primary,State,Otorohanga District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1875,Otonga Road School,9,Q,7,O,-2,-2,0,571,Contributing,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
157,Otorohanga College,4,L,4,K,0,-1,347,347,Secondary (Year 9-15),State,Otorohanga District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1876,Otorohanga School,2,D,2,F,0,2,0,50,Full Primary,State,Otorohanga District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1877,Otorohanga South School,4,J,4,K,0,1,0,319,Full Primary,State,Otorohanga District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
120,Otumoetai College,8,P,7,O,-1,-1,1908,1908,Secondary (Year 9-15),State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1878,Otumoetai Intermediate,7,O,7,O,0,0,0,752,Intermediate,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1879,Otumoetai School,7,O,6,N,-1,-1,0,556,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1071,Oturu School,1,B,1,A,0,-1,0,164,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3461,Our Lady of Assumption School (Chch),8,P,10,Z,2,2,0,288,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
3460,Our Lady of Fatima School (Chch),7,O,8,P,1,1,0,233,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
2416,Our Lady of Lourdes School (P North),4,L,5,M,1,1,0,145,Contributing,State: Integrated,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
2941,Our Lady of Rosary School (Waiwhetu),6,N,5,M,-1,-1,0,200,Full Primary,State: Integrated,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
3462,Our Lady of Snows School (Methven),10,Z,8,P,-2,-2,0,45,Full Primary,State: Integrated,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3463,Our Lady of Victories,7,O,6,N,-1,-1,0,143,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
1411,Our Lady Sacred Heart School (Epsom),10,Z,9,Q,-1,-1,0,228,Full Primary,State: Integrated,Auckland- Albert-Eden,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
3544,Our Lady Star of the Sea School (Christchurch),10,Z,10,Z,0,0,0,64,Full Primary,State: Integrated,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
3464,Ouruhia Model School,8,P,8,P,0,0,0,91,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
3795,Outram School,9,Q,9,Q,0,0,0,208,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1412,Owairaka District School,2,E,3,G,1,2,0,423,Contributing,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
1413,Owairoa School,9,Q,9,Q,0,0,0,729,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
