family,stem
A,194
C,225
C,214
D,214
A,203
C,157
A,210
B,172
C,185
A,178
D,168
D,144
C,190
A,189
B,196
D,178
B,178
D,178
A,200
C,193
A,195
B,210
D,195
D,164
B,181
A,166
D,187
B,190
A,171
A,194
B,208
D,143
C,158
B,181
C,163
A,204
D,190
D,172
C,188
B,203
A,180
C,180
A,190
D,210
B,180
P,183
O,164
Z,195
X,182
K,174
M,174
R,203
V,175
F,161
L,202
G,213
C,161
T,178
H,158
S,231
D,232
N,185
B,191
U,191
Q,189
Y,214
A,218
D,206
B,158
A,170
C,202
B,200
D,192
C,193
D,200
A,159
B,155
B,186
D,171
A,165
C,186
A,174
D,208
B,170
A,178
C,168
C,194
A,156
A,171
B,186
C,132
C,142
D,176
A,135
B,182
D,163
B,119
D,177
A,129
C,210
D,202
B,168
A,186
C,182
B,165
A,159
D,134
B,194
C,200
B,182
A,195
B,196
C,181
D,206
D,132
A,154
C,172
B,187
A,138
C,177
B,192
D,183
A,184
C,198
Q,188
E,147
N,145
Y,195
P,191
Z,150
K,182
F,186
L,176
U,164
T,179
V,170
D,153
B,187
H,200
A,191
X,179
W,180
G,156
J,180
M,190
S,181
R,241
I,182
C,197
O,173
C,186
B,151
A,204
D,163
A,196
C,158
D,179
B,164
D,188
C,180
A,190
C,182
B,180
C,168
B,186
D,143
A,202
C,206
D,175
A,178
B,205
A,187
A,166
D,207
C,138
B,183
C,154
A,179
A,140
C,187
D,164
B,142
C,169
D,199
A,192
C,142
B,172
B,134
D,199
B,138
A,193
C,163
C,151
B,191
D,191
A,168
D,137
B,149
C,156
A,167
A,179
D,216
B,183
C,213
B,186
D,148
A,136
C,190
B,154
D,167
A,188
C,153
B,176
C,190
D,210
A,188
L,172
M,184
Q,188
Z,190
O,187
H,190
I,144
N,192
A,161
P,183
C,181
V,180
R,179
E,169
S,158
U,161
W,222
Y,165
X,160
G,186
F,173
D,149
B,150
C,201
A,167
D,195
B,160
C,196
A,185
B,161
D,182
A,172
C,183
C,182
B,185
D,189
B,175
A,176
D,193
C,184
D,151
C,184
B,168
A,205
C,205
D,205
A,217
C,215
A,167
C,217
B,180
C,235
D,150
A,168
B,143
D,172
B,195
D,165
C,175
D,214
A,145
C,194
B,187
A,154
C,182
D,175
B,195
D,182
B,200
A,215
C,167
A,202
